zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
94035,1,2,1,0,8,8,8,Moffett Field
94036,0,2,0,0,0,0,0,
94037,328,131,0,0,0,0,0,
94038,249,104,1,1,0,1,1,Moss Beach
94039,19,4,0,0,0,0,0,
94040,4859,1641,27,93,52,145,45,Mountain View
94041,2029,711,3,24,0,24,0,Mountain View
94042,15,7,0,0,0,0,0,
94043,7047,1596,103,213,26,239,14,Mountain View
94044,2800,929,4,3,12,15,0,Pacifica
94054,1,0,0,0,0,0,0,
94060,46,18,0,0,0,0,0,
94061,2966,1090,15,26,12,38,4,Redwood City
94062,4175,1786,18,44,2,46,5,Redwood City
94063,1823,649,102,235,4,239,57,Redwood City
94064,11,4,0,0,0,0,0,
94065,1897,803,62,115,2,117,43,Redwood City
94066,2820,758,28,64,56,120,6,San Bruno
94070,4682,1806,21,31,29,60,30,San Carlos
94072,0,1,0,0,0,0,0,
94074,14,4,0,0,0,0,0,
94080,7611,1025,199,417,98,515,81,South San Francisco
94083,14,8,0,0,0,0,0,
94085,2865,842,24,70,3,73,31,Sunnyvale
94086,5406,1640,111,206,19,225,30,Sunnyvale
94087,7534,2723,26,90,46,136,38,Sunnyvale
94088,15,7,0,0,0,0,0,
94089,2196,702,22,33,22,55,11,Sunnyvale
94101,1,0,0,0,0,0,0,
94102,882,292,22,50,12,62,23,San Francisco
94103,1538,476,59,110,89,199,22,San Francisco
94104,136,56,7,26,0,26,10,San Francisco
94105,1367,563,60,94,6,100,25,San Francisco
94107,3025,910,37,68,26,94,27,San Francisco
94108,314,116,26,60,0,60,28,San Francisco
94109,1921,604,20,38,2,40,10,San Francisco
94110,3556,1238,7,11,3,14,5,San Francisco
94111,315,104,35,86,8,94,49,San Francisco
94112,3882,945,6,19,0,19,7,San Francisco
94114,3058,1177,0,0,0,0,0,
94115,1941,648,7,51,3,54,12,San Francisco
94116,3280,967,11,16,0,16,0,San Francisco
94117,2176,791,4,6,2,8,0,San Francisco
94118,2484,811,7,17,38,55,9,San Francisco
94119,12,3,0,0,0,0,0,
94121,2661,770,2,2,4,6,0,San Francisco
94122,3520,1058,8,12,16,28,9,San Francisco
94123,1869,601,39,40,16,56,2,San Francisco
94124,2100,702,7,13,6,19,2,San Francisco
94126,3,5,0,0,0,0,0,
94127,2303,747,0,0,0,0,0,
94128,17,10,105,203,0,203,12,San Francisco
